iter	RMSE
0	36084.14954
1	33159.35032
2	30443.65094
3	27905.92022
4	25694.9671
5	23692.22516
6	21856.59306
7	20210.77263
8	18631.1696
9	17323.47448
10	16066.51674
11	14944.84522
12	13908.64188
13	13048.91671
14	12203.28609
15	11489.78211
16	10783.38822
17	10221.45195
18	9678.776298
19	9224.558182
20	8785.402344
21	8338.373712
22	7972.002137
23	7654.574302
24	7372.98009
25	7079.340203
26	6850.522107
27	6643.755693
28	6472.387311
29	6281.309089
30	6143.413893
31	6019.325637
32	5874.241239
33	5751.768666
34	5634.529648
35	5554.840818
36	5460.673879
37	5378.784091
38	5303.404265
39	5235.602553
40	5163.73641
41	5100.546723
42	5051.584457
43	4983.372522
44	4935.408126
45	4893.636222
46	4858.873718
47	4811.795304
48	4781.247819
49	4743.899776
50	4711.581487
51	4676.046684
52	4650.72363
53	4620.135509
54	4593.520688
55	4574.524977
56	4546.620989
57	4520.900894
58	4499.406432
59	4474.905898
60	4451.230892
61	4430.924369
62	4406.52365
63	4390.742034
64	4361.734103
65	4346.363147
66	4323.376674
67	4306.108756
68	4288.355508
69	4265.56376
70	4248.763098
71	4235.479972
72	4216.793162
73	4200.716334
74	4188.647185
75	4169.229883
76	4152.762439
77	4137.495057
78	4123.514573
79	4107.684137
80	4095.83869
81	4080.294909
82	4066.887847
83	4050.677557
84	4037.072795
85	4027.690303
86	4017.002126
87	3997.889419
88	3986.531386
89	3973.212529
90	3958.625311
91	3939.624148
92	3922.217393
93	3907.654199
94	3900.037278
95	3883.906879
96	3872.723356
97	3857.763534
98	3845.966319
99	3832.055891
100	3818.237653
101	3801.300652
102	3787.584113
103	3767.679957
104	3756.563314
105	3736.942545
106	3726.052679
107	3715.366618
108	3702.517295
109	3692.170825
110	3679.762476
111	3667.488153
112	3650.735485
113	3638.203133
114	3622.223219
115	3612.428668
116	3600.545099
117	3588.287482
118	3572.36312
119	3563.004567
120	3552.562969
121	3538.608156
122	3526.463881
123	3515.328729
124	3504.624653
125	3489.353117
126	3474.377164
127	3459.696389
128	3447.783201
129	3435.810545
