iter	Passed	Remaining
0	76	9839
1	81	5216
2	86	3670
3	91	2890
4	96	2411
5	101	2093
6	106	1871
7	113	1737
8	119	1612
9	125	1507
10	130	1415
11	136	1338
12	141	1274
13	147	1222
14	154	1185
15	160	1146
16	167	1110
17	173	1079
18	179	1048
19	185	1019
20	191	992
21	195	961
22	200	932
23	205	906
24	210	883
25	214	859
26	219	838
27	224	819
28	230	802
29	235	783
30	240	766
31	244	749
32	249	734
33	254	718
34	259	703
35	264	691
36	269	677
37	274	663
38	279	651
39	283	638
40	288	625
41	293	614
42	298	603
43	303	592
44	307	581
45	313	571
46	317	560
47	322	550
48	326	540
49	331	530
50	336	521
51	342	513
52	347	504
53	351	495
54	356	486
55	362	479
56	368	471
57	374	464
58	380	458
59	385	450
60	390	442
61	396	434
62	401	427
63	406	419
64	412	412
65	417	404
66	422	397
67	429	391
68	434	384
69	439	377
70	445	370
71	451	363
72	456	356
73	461	349
74	466	342
75	472	335
76	478	329
77	483	322
78	489	315
79	494	309
80	499	302
81	504	295
82	509	288
83	514	281
84	519	275
85	525	268
86	530	262
87	535	255
88	541	249
89	549	244
90	556	238
91	562	232
92	568	226
93	574	219
94	581	214
95	588	208
96	601	204
97	610	199
98	617	193
99	623	187
100	631	181
101	643	176
102	650	170
103	657	164
104	662	157
105	671	151
106	677	145
107	685	139
108	692	133
109	699	127
110	706	120
111	712	114
112	720	108
113	726	101
114	732	95
115	739	89
116	745	82
117	750	76
118	757	70
119	765	63
120	771	57
121	777	51
122	785	44
123	792	38
124	798	31
125	803	25
126	809	19
127	815	12
128	821	6
129	827	0
