iter	RMSE
0	35523.64577
1	32643.67368
2	29954.43058
3	27474.23984
4	25318.05802
5	23371.02124
6	21621.93383
7	19980.96639
8	18408.02223
9	17070.11822
10	15781.48366
11	14694.78298
12	13663.82246
13	12810.5221
14	11997.31261
15	11291.21378
16	10591.84552
17	10079.58875
18	9547.117765
19	9090.497354
20	8644.410151
21	8268.923221
22	7918.942518
23	7614.482696
24	7332.577504
25	7076.200983
26	6828.607226
27	6615.714005
28	6418.050435
29	6228.748331
30	6084.280539
31	5945.061546
32	5828.228114
33	5710.102414
34	5596.003089
35	5514.57223
36	5416.814791
37	5323.10606
38	5242.982616
39	5169.52324
40	5091.936697
41	5037.977636
42	4980.922845
43	4921.870857
44	4870.522149
45	4824.631842
46	4775.577814
47	4733.847125
48	4696.666611
49	4667.397034
50	4634.152408
51	4601.195523
52	4571.519657
53	4547.513224
54	4519.781565
55	4499.469753
56	4469.997135
57	4448.771167
58	4423.443272
59	4401.407044
60	4377.641043
61	4355.290403
62	4342.967977
63	4327.73065
64	4303.489342
65	4288.413001
66	4269.968372
67	4250.163464
68	4235.630484
69	4218.75195
70	4207.655088
71	4194.559224
72	4176.213792
73	4158.926147
74	4144.709193
75	4118.242699
76	4101.620378
77	4085.08284
78	4068.98307
79	4055.640677
80	4041.219494
81	4031.863076
82	4012.529624
83	3994.023263
84	3980.734271
85	3969.566204
86	3956.59561
87	3934.412199
88	3919.821934
89	3901.819105
90	3881.838287
91	3867.086378
92	3859.040092
93	3841.865704
94	3832.077689
95	3822.365505
96	3807.66854
97	3792.720706
98	3775.480549
99	3765.771754
100	3754.813376
101	3742.88111
102	3729.840918
103	3710.638187
104	3693.345265
105	3678.230468
106	3664.293541
107	3648.343315
108	3639.407099
109	3628.206377
110	3615.866312
111	3602.860914
112	3591.79523
113	3579.02124
114	3565.846688
115	3554.699915
116	3544.73367
117	3528.689963
118	3515.113526
119	3503.381154
120	3488.480142
121	3478.796584
122	3468.587998
123	3458.048118
124	3448.045833
125	3432.760114
126	3420.704918
127	3405.165514
128	3395.182444
129	3384.706452
