iter	Passed	Remaining
0	65	8447
1	70	4509
2	74	3167
3	78	2481
4	83	2078
5	86	1795
6	90	1598
7	94	1447
8	99	1335
9	103	1239
10	107	1162
11	111	1096
12	115	1043
13	120	997
14	124	955
15	128	917
16	133	887
17	137	856
18	141	829
19	145	802
20	150	779
21	153	755
22	158	735
23	162	716
24	166	697
25	169	679
26	173	662
27	177	646
28	181	632
29	185	619
30	189	606
31	193	593
32	197	580
33	201	569
34	205	557
35	209	546
36	213	535
37	217	525
38	221	517
39	225	507
40	229	498
41	233	488
42	237	480
43	241	471
44	245	463
45	249	455
46	253	446
47	256	438
48	260	430
49	265	424
50	269	417
51	273	410
52	278	404
53	282	398
54	287	391
55	291	385
56	296	379
57	300	372
58	303	365
59	307	359
60	312	353
61	315	346
62	320	340
63	324	334
64	328	328
65	332	322
66	336	316
67	340	310
68	344	304
69	348	298
70	351	292
71	356	286
72	360	281
73	364	275
74	368	270
75	371	264
76	376	258
77	380	253
78	384	248
79	388	243
80	392	237
81	396	232
82	400	226
83	404	221
84	408	216
85	412	210
86	416	205
87	420	200
88	424	195
89	428	190
90	431	185
91	435	179
92	439	174
93	443	169
94	447	165
95	451	159
96	455	154
97	459	149
98	463	145
99	467	140
100	471	135
101	475	130
102	480	125
103	484	121
104	488	116
105	492	111
106	495	106
107	499	101
108	503	97
109	507	92
110	511	87
111	514	82
112	518	78
113	522	73
114	526	68
115	531	64
116	535	59
117	539	54
118	543	50
119	547	45
120	550	40
121	554	36
122	558	31
123	562	27
124	566	22
125	570	18
126	574	13
127	578	9
128	582	4
129	587	0
